,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EngageCount
23188,23188,7550,engage.,picard,38.0,139.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",13,39,13,"""Time Squared""",42679.2,Joseph L. Scanlan,Teleplay by: Maurice Hurley Story by: Kurt Michael Bensmiller,"April?3,?1989?(1989-04-03)",9.9[2],38,1
23820,23820,42463,commander riker and his father are up on the holodeck about to engage in barbarism of their own.,troi,39.0,140.txt,"['Commander', 'Riker', 'father', 'Holodeck', 'engage', 'barbarism']","['Command', 'Riker', 'father', 'Holodeck', 'engag', 'barbar']","['Command', 'Riker', 'father', 'Holodeck', 'engag', 'barbar']",6.0,0.0,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",14,40,14,"""The Icarus Factor""",42686.4,Robert Iscove,Teleplay by: David Assael and Robert McCullough Story by: David Assael,"April?24,?1989?(1989-04-24)",9.1[2],39,1
24961,24961,7958,on any heading warp eight engage  as he inputs the information and attempts to take the enterprise out of danger.,picard wesley,41.0,142.txt,"['On', 'heading', 'warp', 'eight', 'engage', 'As', 'inputs', 'information', 'attempts', 'take', 'Enterprise', 'danger']","['On', 'head', 'warp', 'eight', 'engag', 'As', 'input', 'inform', 'attempt', 'take', 'Enterpris', 'danger']","['On', 'head', 'warp', 'eight', 'engag', 'As', 'input', 'inform', 'attempt', 'take', 'Enterpris', 'danger']",12.0,-0.5267,"['picard', 'wesley']",jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41,1
24994,24994,7991,"now, mister crusher engage ",picard ext.,41.0,142.txt,"['Now', 'Mister', 'Crusher', 'engage']","['Now', 'Mister', 'Crusher', 'engag']","['Now', 'Mister', 'Crusher', 'engag']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41,1
25138,25138,63991,"engage, mister crusher ",riker ext.,41.0,142.txt,"['Engage', 'Mister', 'Crusher']","['Engag', 'Mister', 'Crusher']","['Engag', 'Mister', 'Crusher']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41,1
25312,25312,99132,"the only one of our regulars in tenforward is geordi, who is sitting at a table by the window with sonya they are engaged in a very animated conversation.6a something gives her pause like a whisper only she can hear.",tenforward guinan,41.0,142.txt,"['The', 'one', 'regulars', 'TenForward', 'Geordi', 'sitting', 'table', 'window', 'Sonya', 'engaged', 'animated', 'conversation6A', 'Something', 'gives', 'pause', 'like', 'whisper', 'hear']","['The', 'one', 'regular', 'TenForward', 'Geordi', 'sit', 'tabl', 'window', 'Sonya', 'engag', 'anim', 'conversation6A', 'Someth', 'give', 'paus', 'like', 'whisper', 'hear']","['The', 'one', 'regular', 'TenForward', 'Geordi', 'sit', 'tabl', 'window', 'Sonya', 'engag', 'anim', 'conversation6A', 'Someth', 'give', 'paus', 'like', 'whisper', 'hear']",18.0,0.3612,['guinan'],guinan,Whoopi Goldberg,"['TNG', 'GEN,NEM']",guinan,Bartender,USS Enterprise-D,['Civilian'],El-Aurian,['guinan'],16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41,1
25498,25498,102166,the hall has been rented the orchestra engaged it's time to see if you can dance.,"star trek ""q act two 21a.26 continued: q",41.0,142.txt,"['The', 'hall', 'rented', 'orchestra', 'engaged', 'time', 'see', 'dance']","['The', 'hall', 'rent', 'orchestra', 'engag', 'time', 'see', 'danc']","['The', 'hall', 'rent', 'orchestra', 'engag', 'time', 'see', 'danc']",8.0,0.0,['q'],q,John de Lancie,"['TNG', 'DS9', 'VOY']",q,Q Continuum,Q Continuum,,Q,['q'],16,42,16,"""Q Who""",42761.3,Rob Bowman,Maurice Hurley,"May?8,?1989?(1989-05-08)",10.3[2],41,1
25698,25698,8148,picard assumes his command position now and (continuing) engage ,picard,42.0,143.txt,"['Picard', 'assumes', 'command', 'position', 'continuing', 'Engage']","['Picard', 'assum', 'command', 'posit', 'continu', 'Engag']","['Picard', 'assum', 'command', 'posit', 'continu', 'Engag']",6.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,43,17,"""Samaritan Snare""",42779.1,Les Landau,Robert L. McCullough,"May?15,?1989?(1989-05-15)",10.0[2],42,1
26401,26401,8306,engage.,picard,43.0,144.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,44,18,"""Up the Long Ladder""",42823.2,Winrich Kolbe,Melinda M. Snodgrass,"May?22,?1989?(1989-05-22)",9.2[2],43,1
27586,27586,8562,(cont'd) engage.4,picard ext.,45.0,146.txt,"['contd', 'Engage4']","['contd', 'Engage4']","['contd', 'Engage4']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,46,20,"""The Emissary""",42901.3,Cliff Bole,Teleplay by: Richard Manning & Hans Beimler Story by: Richard Manning & Hans Beimler and Thomas H. Calder,"June?26,?1989?(1989-06-26)",9.0[2],45,1
27613,27613,8589,engage tractor ,picard ext.,45.0,146.txt,"['Engage', 'tractor']","['Engag', 'tractor']","['Engag', 'tractor']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,46,20,"""The Emissary""",42901.3,Cliff Bole,Teleplay by: Richard Manning & Hans Beimler Story by: Richard Manning & Hans Beimler and Thomas H. Calder,"June?26,?1989?(1989-06-26)",9.0[2],45,1
27643,27643,8619,engage.,picard,45.0,146.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,46,20,"""The Emissary""",42901.3,Cliff Bole,Teleplay by: Richard Manning & Hans Beimler Story by: Richard Manning & Hans Beimler and Thomas H. Calder,"June?26,?1989?(1989-06-26)",9.0[2],45,1
28289,28289,8733,"(the ""scores"" stop) disengage weapons, reengage modified beam.",picard,46.0,147.txt,"['scores', 'stop', 'Disengage', 'weapons', 'reengage', 'modified', 'beam']","['score', 'stop', 'Disengag', 'weapon', 'reengag', 'modifi', 'beam']","['score', 'stop', 'Disengag', 'weapon', 'reengag', 'modifi', 'beam']",7.0,-0.5267,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",21,47,21,"""Peak Performance""",42923.4,Robert Scheerer,David Kemper,"July?10,?1989?(1989-07-10)",9.4[2],46,1
28415,28415,31830,disengage modified beams.,data,46.0,147.txt,"['Disengage', 'modified', 'beams']","['Disengag', 'modifi', 'beam']","['Disengag', 'modifi', 'beam']",3.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],21,47,21,"""Peak Performance""",42923.4,Robert Scheerer,David Kemper,"July?10,?1989?(1989-07-10)",9.4[2],46,1
28420,28420,31835,"sever modified beams, engage phasers and target!",data,46.0,147.txt,"['Sever', 'modified', 'beams', 'engage', 'phasers', 'target']","['Sever', 'modifi', 'beam', 'engag', 'phaser', 'target']","['Sever', 'modifi', 'beam', 'engag', 'phaser', 'target']",6.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],21,47,21,"""Peak Performance""",42923.4,Robert Scheerer,David Kemper,"July?10,?1989?(1989-07-10)",9.4[2],46,1
29271,29271,64939,"(continuing; into communicator) bridge, engage engines!",riker,47.0,148.txt,"['continuing', 'communicator', 'Bridge', 'engage', 'engines']","['continu', 'commun', 'Bridg', 'engag', 'engin']","['continu', 'commun', 'Bridg', 'engag', 'engin']",5.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",22,48,22,"""Shades of Gray""",42976.1,Rob Bowman,Teleplay by: Maurice Hurley and Richard Manning & Hans Beimler Story by: Maurice Hurley,"July?17,?1989?(1989-07-17)",9.8[2],47,1
32420,32420,65302,"data sits in his position, immediately engages his computer.",riker,53.0,154.txt,"['Data', 'sits', 'position', 'immediately', 'engages', 'computer']","['Data', 'sit', 'posit', 'immedi', 'engag', 'comput']","['Data', 'sit', 'posit', 'immedi', 'engag', 'comput']",6.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,54,6,"""Booby Trap""",43205.6,Gabrielle Beaumont,Teleplay by: Ron Roman and Michael Piller & Richard Danus Story by: Michael Wagner & Ron Roman,"October?30,?1989?(1989-10-30)",11.0[4],53,1
32481,32481,65363,we are about to engage impulse engines for a short burst.,riker,53.0,154.txt,"['We', 'engage', 'impulse', 'engines', 'short', 'burst']","['We', 'engag', 'impuls', 'engin', 'short', 'burst']","['We', 'engag', 'impuls', 'engin', 'short', 'burst']",6.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,54,6,"""Booby Trap""",43205.6,Gabrielle Beaumont,Teleplay by: Ron Roman and Michael Piller & Richard Danus Story by: Michael Wagner & Ron Roman,"October?30,?1989?(1989-10-30)",11.0[4],53,1
34368,34368,10263,"romulan warbird, you have crossed into the neutral zone, and are engaged in hostile action.",picard,57.0,158.txt,"['Romulan', 'warbird', 'crossed', 'Neutral', 'Zone', 'engaged', 'hostile', 'action']","['Romulan', 'warbird', 'cross', 'Neutral', 'Zone', 'engag', 'hostil', 'action']","['Romulan', 'warbird', 'cross', 'Neutral', 'Zone', 'engag', 'hostil', 'action']",8.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,58,10,"""The Defector""",43462.5,Robert Scheerer,Ronald D. Moore,"January?1,?1990?(1990-01-01)",10.5[4],57,1
34501,34501,10396,engage.,picard,57.0,158.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,58,10,"""The Defector""",43462.5,Robert Scheerer,Ronald D. Moore,"January?1,?1990?(1990-01-01)",10.5[4],57,1
34762,34762,65755,engage impulse engines.,riker,57.0,158.txt,"['Engage', 'impulse', 'engines']","['Engag', 'impuls', 'engin']","['Engag', 'impuls', 'engin']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",10,58,10,"""The Defector""",43462.5,Robert Scheerer,Ronald D. Moore,"January?1,?1990?(1990-01-01)",10.5[4],57,1
34982,34982,10551,engage ,picard ext.,58.0,159.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,59,11,"""The Hunted""",43489.2,Cliff Bole,Robin Bernheim,"January?8,?1990?(1990-01-08)",10.6[4],58,1
35004,35004,32572,tractor beam disengaged ,data,58.0,159.txt,"['Tractor', 'beam', 'disengaged']","['Tractor', 'beam', 'disengag']","['Tractor', 'beam', 'disengag']",3.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],11,59,11,"""The Hunted""",43489.2,Cliff Bole,Robin Bernheim,"January?8,?1990?(1990-01-08)",10.6[4],58,1
35921,35921,10786,"as he raises his hand to ""engage"", a cigar appears in it...",picard,60.0,161.txt,"['As', 'raises', 'hand', 'engage', 'cigar', 'appears']","['As', 'rais', 'hand', 'engag', 'cigar', 'appear']","['As', 'rais', 'hand', 'engag', 'cigar', 'appear']",6.0,0.4939,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",13,61,13,"""D?j? Q""",43539.1,Les Landau,Richard Danus,"February?5,?1990?(1990-02-05)",11.3[4],60,1
36085,36085,65934,disengage tractor beam...,riker,60.0,161.txt,"['Disengage', 'tractor', 'beam']","['Disengag', 'tractor', 'beam']","['Disengag', 'tractor', 'beam']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",13,61,13,"""D?j? Q""",43539.1,Les Landau,Richard Danus,"February?5,?1990?(1990-02-05)",11.3[4],60,1
36150,36150,89063,engage field coils.,geordi,60.0,161.txt,"['Engage', 'field', 'coils']","['Engag', 'field', 'coil']","['Engag', 'field', 'coil']",3.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",13,61,13,"""D?j? Q""",43539.1,Les Landau,Richard Danus,"February?5,?1990?(1990-02-05)",11.3[4],60,1
36155,36155,89068,ready to engage tractor beam.,geordi,60.0,161.txt,"['Ready', 'engage', 'tractor', 'beam']","['Readi', 'engag', 'tractor', 'beam']","['Readi', 'engag', 'tractor', 'beam']",4.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",13,61,13,"""D?j? Q""",43539.1,Les Landau,Richard Danus,"February?5,?1990?(1990-02-05)",11.3[4],60,1
36157,36157,89070,engage tractor beam.,geordi,60.0,161.txt,"['Engage', 'tractor', 'beam']","['Engag', 'tractor', 'beam']","['Engag', 'tractor', 'beam']",3.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",13,61,13,"""D?j? Q""",43539.1,Les Landau,Richard Danus,"February?5,?1990?(1990-02-05)",11.3[4],60,1
37001,37001,66109,engage.,riker,61.0,162.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",14,62,14,"""A Matter of Perspective""",43610.4,Cliff Bole,Ed Zuckerman,"February?12,?1990?(1990-02-12)",10.8[4],61,1
37071,37071,89178,coordinate autoengage time sequence the holograms of riker and apgar disappear and reappear in different positions...,geordi,61.0,162.txt,"['coordinate', 'autoengage', 'time', 'sequence', 'The', 'holograms', 'Riker', 'Apgar', 'disappear', 'reappear', 'different', 'positions']","['coordin', 'autoengag', 'time', 'sequenc', 'The', 'hologram', 'Riker', 'Apgar', 'disappear', 'reappear', 'differ', 'posit']","['coordin', 'autoengag', 'time', 'sequenc', 'The', 'hologram', 'Riker', 'Apgar', 'disappear', 'reappear', 'differ', 'posit']",12.0,-0.2263,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",14,62,14,"""A Matter of Perspective""",43610.4,Cliff Bole,Ed Zuckerman,"February?12,?1990?(1990-02-12)",10.8[4],61,1
37838,37838,11267,engage.,picard (o.s.),63.0,164.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,64,16,"""The Offspring""",43657.0,Jonathan Frakes,Ren? Echevarria,"March?12,?1990?(1990-03-12)",10.2[4],63,1
38604,38604,77154,(a little rattled) engaged.,wesley,64.0,165.txt,"['little', 'rattled', 'Engaged']","['littl', 'rattl', 'Engag']","['littl', 'rattl', 'Engag']",3.0,0.0,['wesley'],wesley crusher,Wil Wheaton,"['TNG', 'NEM']",wesley crusher,Helmsman (S1-4),USS Titan,"['Lieutenant, JG']",Human,"['wesley', 'crusher']",17,65,17,"""Sins of the Father""",43685.2,Les Landau,Teleplay by: Ronald D. Moore & W. Reed Moran Story by: Drew Deighan,"March?19,?1990?(1990-03-19)",11.1[4],64,1
38869,38869,11462,engage.,false picard,65.0,166.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,66,18,"""Allegiance""",43714.1,Winrich Kolbe,Richard Manning & Hans Beimler,"March?26,?1990?(1990-03-26)",10.2[4],65,1
39113,39113,11706,engage ,picard ext.,65.0,166.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,66,18,"""Allegiance""",43714.1,Winrich Kolbe,Richard Manning & Hans Beimler,"March?26,?1990?(1990-03-26)",10.2[4],65,1
39258,39258,66319,engage.,riker,65.0,166.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",18,66,18,"""Allegiance""",43714.1,Winrich Kolbe,Richard Manning & Hans Beimler,"March?26,?1990?(1990-03-26)",10.2[4],65,1
40060,40060,12136,we are here engaged in scientific research.,picard,67.0,168.txt,"['We', 'engaged', 'scientific', 'research']","['We', 'engag', 'scientif', 'research']","['We', 'engag', 'scientif', 'research']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,68,20,"""Tin Man""",43779.3,Robert Scheerer,Dennis Putman Bailey & David Bischoff,"April?23,?1990?(1990-04-23)",10.2[4],67,1
41153,41153,12249,engage ,picard ext.,69.0,170.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,70,22,"""The Most Toys""",43872.2,Timothy Bond,Shari Goodhartz,"May?7,?1990?(1990-05-07)",10.3[4],69,1
41197,41197,12293,engage ,picard ext.,69.0,170.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,70,22,"""The Most Toys""",43872.2,Timothy Bond,Shari Goodhartz,"May?7,?1990?(1990-05-07)",10.3[4],69,1
42069,42069,12569,engage ,picard omitted53 int.,71.0,172.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",24,72,24,"""M?nage ? Troi""",43930.7,Robert Legato,Fred Bronson & Susan Sackett,"May?28,?1990?(1990-05-28)",9.1[4],71,1
42119,42119,12619,engage.,picard,71.0,172.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",24,72,24,"""M?nage ? Troi""",43930.7,Robert Legato,Fred Bronson & Susan Sackett,"May?28,?1990?(1990-05-28)",9.1[4],71,1
43174,43174,12800,"mister worf, dispatch a subspace message to admiral hanson we have engaged the borg.",picard,73.0,174.txt,"['Mister', 'Worf', 'dispatch', 'subspace', 'message', 'Admiral', 'Hanson', 'engaged', 'Borg']","['Mister', 'Worf', 'dispatch', 'subspac', 'messag', 'Admir', 'Hanson', 'engag', 'Borg']","['Mister', 'Worf', 'dispatch', 'subspac', 'messag', 'Admir', 'Hanson', 'engag', 'Borg']",9.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",26,74,26,"""The Best of Both Worlds""",43989.1,Cliff Bole,Michael Piller,"June?18,?1990?(1990-06-18)",10.1[4],73,1
43194,43194,12820,engage.. ,picard,73.0,174.txt,['engage'],['engag'],['engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",26,74,26,"""The Best of Both Worlds""",43989.1,Cliff Bole,Michael Piller,"June?18,?1990?(1990-06-18)",10.1[4],73,1
43528,43528,66884,engage.,riker,73.0,174.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",26,74,26,"""The Best of Both Worlds""",43989.1,Cliff Bole,Michael Piller,"June?18,?1990?(1990-06-18)",10.1[4],73,1
43560,43560,66916,(to com) we've got fiftyeight minutes before we have to power down and disengage.,riker,73.0,174.txt,"['com', 'Weve', 'got', 'fiftyeight', 'minutes', 'power', 'disengage']","['com', 'Weve', 'got', 'fiftyeight', 'minut', 'power', 'disengag']","['com', 'Weve', 'got', 'fiftyeight', 'minut', 'power', 'disengag']",7.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",26,74,26,"""The Best of Both Worlds""",43989.1,Cliff Bole,Michael Piller,"June?18,?1990?(1990-06-18)",10.1[4],73,1
43825,43825,33527,implanted in each suddenly.. on picard rises and attempts to disengage the connections on the biobed...,data,74.0,175.txt,"['implanted', 'Suddenly', 'Picard', 'rises', 'attempts', 'disengage', 'connections', 'biobed']","['implant', 'Suddenli', 'Picard', 'rise', 'attempt', 'disengag', 'connect', 'biob']","['implant', 'Suddenli', 'Picard', 'rise', 'attempt', 'disengag', 'connect', 'biob']",8.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],1,75,1,"""The Best of Both Worlds: Part II""",44001.4,Cliff Bole,Michael Piller,"September?24,?1990?(1990-09-24)",12.3[5],74,1
43941,43941,67009,starfleet reports it has engaged the borg at wolf ,riker,74.0,175.txt,"['Starfleet', 'reports', 'engaged', 'Borg', 'Wolf']","['Starfleet', 'report', 'engag', 'Borg', 'Wolf']","['Starfleet', 'report', 'engag', 'Borg', 'Wolf']",5.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",1,75,1,"""The Best of Both Worlds: Part II""",44001.4,Cliff Bole,Michael Piller,"September?24,?1990?(1990-09-24)",12.3[5],74,1
46266,46266,80852,engage.,beverly,78.0,179.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['beverly'],beverly crusher,Gates McFadden,"['TNG', 'GEN,FCT,INS,NEM']",beverly crusher,Head of Starfleet Medical (S2),USS Enterprise-E,['Commander'],Human,"['beverly', 'crusher']",5,79,5,"""Remember Me""",44161.2,Cliff Bole,Lee Sheldon,"October?22,?1990?(1990-10-22)",11.4[5],78,1
46344,46344,89930,"you want to explain when the captain says ""engage,"" and we just sit here?",geordi,78.0,179.txt,"['You', 'want', 'explain', 'Captain', 'says', 'Engage', 'sit']","['You', 'want', 'explain', 'Captain', 'say', 'Engag', 'sit']","['You', 'want', 'explain', 'Captain', 'say', 'Engag', 'sit']",7.0,0.0772,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",5,79,5,"""Remember Me""",44161.2,Cliff Bole,Lee Sheldon,"October?22,?1990?(1990-10-22)",11.4[5],78,1
