,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
69158,69158,19218,make it so.,picard,116.0,217.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,117,17,"""The Outcast""",45614.6,Robert Scheerer,Jeri Taylor,"March?16,?1992?(1992-03-16)",12.3[6],116
69771,69771,19287,mister worf make it so.,picard,117.0,218.txt,"['Mister', 'Worf', 'make']","['Mister', 'Worf', 'make']","['Mister', 'Worf', 'make']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,118,18,"""Cause and Effect""",45652.1,Jonathan Frakes,Brannon Braga,"March?23,?1992?(1992-03-23)",13.0[6],117
69798,69798,19314,mister worf make it so.,picard,117.0,218.txt,"['Mister', 'Worf', 'make']","['Mister', 'Worf', 'make']","['Mister', 'Worf', 'make']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,118,18,"""Cause and Effect""",45652.1,Jonathan Frakes,Brannon Braga,"March?23,?1992?(1992-03-23)",13.0[6],117
69845,69845,19361,mister worf make it so.,picard,117.0,218.txt,"['Mister', 'Worf', 'make']","['Mister', 'Worf', 'make']","['Mister', 'Worf', 'make']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,118,18,"""Cause and Effect""",45652.1,Jonathan Frakes,Brannon Braga,"March?23,?1992?(1992-03-23)",13.0[6],117
71098,71098,19596,"make it so.4thru ""cost of living""",picard omitted6 star trek: rev.,119.0,220.txt,"['Make', 'so4thru', 'Cost', 'Living']","['Make', 'so4thru', 'Cost', 'Live']","['Make', 'so4thru', 'Cost', 'Live']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,120,20,"""Cost of Living""",45733.6,Winrich Kolbe,Peter Allan Fields,"April?20,?1992?(1992-04-20)",11.7[6],119
71141,71141,19639,make it so.,picard,119.0,220.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,120,20,"""Cost of Living""",45733.6,Winrich Kolbe,Peter Allan Fields,"April?20,?1992?(1992-04-20)",11.7[6],119
71163,71163,19661,make it so...,picard,119.0,220.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,120,20,"""Cost of Living""",45733.6,Winrich Kolbe,Peter Allan Fields,"April?20,?1992?(1992-04-20)",11.7[6],119
74665,74665,20670,make it so.,picard,125.0,226.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",26,126,26,"""Time's Arrow""",45959.1,Les Landau,Teleplay: Joe Menosky and Michael Piller Story: Joe Menosky,"June?15,?1992?(1992-06-15)",11.8[6],125
77816,77816,21153,make it so.,picard,130.0,231.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",5,131,5,"""Schisms""",46154.2,Robert Wiemer,Teleplay: Brannon Braga Story: Jean Louise Matthias & Ron Wilkerson,"October?19,?1992?(1992-10-19)",13.2[7],130
89987,89987,23907,"make it so, data.",picard,150.0,251.txt,"['Make', 'Data']","['Make', 'Data']","['Make', 'Data']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,151,25,"""Timescape""",46944.2,Adam Nimoy,Brannon Braga,"June?14,?1993?(1993-06-14)",11.6[7],150
92540,92540,24580,make it so.,picard,154.0,255.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,155,3,"""Interface""",47215.5,Robert Wiemer,Joe Menosky,"October?4,?1993?(1993-10-04)",11.7[8],154
94118,94118,39029,make it so.,data,156.0,257.txt,['Make'],['Make'],['Make'],1.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],5,157,5,"""Gambit, Part II""",47160.1,Alexander Singer,Teleplay by: Ronald D. Moore Story by: Naren Shankar,"October?18,?1993?(1993-10-18)",12.0[8],156
94515,94515,25126,make it so.,picard,157.0,258.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,158,6,"""Phantasms""",47225.7,Patrick Stewart,Brannon Braga,"October?25,?1993?(1993-10-25)",12.2[8],157
94533,94533,25144,make it so.,picard,157.0,258.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,158,6,"""Phantasms""",47225.7,Patrick Stewart,Brannon Braga,"October?25,?1993?(1993-10-25)",12.2[8],157
96686,96686,25549,make it so.,picard,160.0,261.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",9,161,9,"""Force of Nature""",47310.2,Robert Lederman,Naren Shankar,"November?15,?1993?(1993-11-15)",11.9[8],160
97811,97811,25711,make it so.,picard,162.0,263.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,163,11,"""Parallels""",47391.2,Robert Wiemer,Brannon Braga,"November?29,?1993?(1993-11-29)",12.8[8],162
98780,98780,25845,"make it so, mister data.",picard,163.0,264.txt,"['Make', 'Mister', 'Data']","['Make', 'Mister', 'Data']","['Make', 'Mister', 'Data']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,164,12,"""The Pegasus""",47457.1,LeVar Burton,Ronald D. Moore,"January?10,?1994?(1994-01-10)",11.9[8],163
98885,98885,25950,make it so.,picard,163.0,264.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,164,12,"""The Pegasus""",47457.1,LeVar Burton,Ronald D. Moore,"January?10,?1994?(1994-01-10)",11.9[8],163
99748,99748,26142,make it so.,picard,165.0,266.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,166,14,"""Sub Rosa""",Unknown,Jonathan Frakes,Teleplay by: Brannon Braga Story by: Jeri Taylor Based on material by Jeanna F. Gallo,"January?31,?1994?(1994-01-31)",11.5[8],165
99757,99757,26151,make it so.,picard,165.0,266.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,166,14,"""Sub Rosa""",Unknown,Jonathan Frakes,Teleplay by: Brannon Braga Story by: Jeri Taylor Based on material by Jeanna F. Gallo,"January?31,?1994?(1994-01-31)",11.5[8],165
101447,101447,26451,make it so.,picard,168.0,269.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,169,17,"""Masks""",47615.2,Robert Wiemer,Joe Menosky,"February?21,?1994?(1994-02-21)",11.8[8],168
105029,105029,27393,make it so.,picard,173.0,274.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,174,22,"""Bloodlines""",47829.1,Les Landau,Nicholas Sagan,"May?2,?1994?(1994-05-02)",11.3[8],173
107068,107068,28283,make it so!,picard,176.0,277.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,177 178,25 26,"""All Good Things...""",47988,Winrich Kolbe,Ronald D. Moore & Brannon Braga,"May?23,?1994?(1994-05-23)",17.4[8],176
107090,107090,28305,make it so.,picard,176.0,277.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,177 178,25 26,"""All Good Things...""",47988,Winrich Kolbe,Ronald D. Moore & Brannon Braga,"May?23,?1994?(1994-05-23)",17.4[8],176
