,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EnergizeCount
33461,33461,88861,"geordi nods a final goodbye and.. geordi signals o'brien, who energizes; bochra and the pallet that's the way to fight all the wars from now on.",geordi,54.0,155.txt,"['Geordi', 'nods', 'final', 'goodbye', 'Geordi', 'signals', 'OBrien', 'energizes', 'Bochra', 'pallet', 'Thats', 'way', 'fight', 'wars']","['Geordi', 'nod', 'final', 'goodby', 'Geordi', 'signal', 'OBrien', 'energ', 'Bochra', 'pallet', 'That', 'way', 'fight', 'war']","['Geordi', 'nod', 'final', 'goodby', 'Geordi', 'signal', 'OBrien', 'energ', 'Bochra', 'pallet', 'That', 'way', 'fight', 'war']",14.0,-0.7579,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",7,55,7,"""The Enemy""",43349.2,David Carson,David Kemper & Michael Piller,"November?6,?1989?(1989-11-06)",10.3[4],54,1
34154,34154,65563,energize!,riker angle on the gatherers (optical),56.0,157.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",9,57,9,"""The Vengeance Factor""",43421.9,Timothy Bond,Sam Rolfe,"November?20,?1989?(1989-11-20)",9.7[4],56,1
34702,34702,65695,energize.,riker,57.0,158.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",10,58,10,"""The Defector""",43462.5,Robert Scheerer,Ronald D. Moore,"January?1,?1990?(1990-01-01)",10.5[4],57,1
35383,35383,10616,"transporter room three, lock on the explosive device and energize.",picard,59.0,160.txt,"['Transporter', 'room', 'three', 'lock', 'explosive', 'device', 'energize']","['Transport', 'room', 'three', 'lock', 'explos', 'devic', 'energ']","['Transport', 'room', 'three', 'lock', 'explos', 'devic', 'energ']",7.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,60,12,"""The High Ground""",43510.7,Gabrielle Beaumont,Melinda M. Snodgrass,"January?29,?1990?(1990-01-29)",10.5[4],59,1
37061,37061,89168,we are hypothesizing that doctor apgar energized the converter at the moment of commander riker's beamout hoping to make his death look like a transporter accident.,geordi,61.0,162.txt,"['We', 'hypothesizing', 'Doctor', 'Apgar', 'energized', 'converter', 'moment', 'Commander', 'Rikers', 'beamout', 'hoping', 'make', 'death', 'look', 'like', 'transporter', 'accident']","['We', 'hypothes', 'Doctor', 'Apgar', 'energ', 'convert', 'moment', 'Command', 'Riker', 'beamout', 'hope', 'make', 'death', 'look', 'like', 'transport', 'accid']","['We', 'hypothes', 'Doctor', 'Apgar', 'energ', 'convert', 'moment', 'Command', 'Riker', 'beamout', 'hope', 'make', 'death', 'look', 'like', 'transport', 'accid']",17.0,0.128,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",14,62,14,"""A Matter of Perspective""",43610.4,Cliff Bole,Ed Zuckerman,"February?12,?1990?(1990-02-12)",10.8[4],61,1
37079,37079,101927,energizes the transporter console.,transporter room o'brien,61.0,162.txt,"['energizes', 'transporter', 'console']","['energ', 'transport', 'consol']","['energ', 'transport', 'consol']",3.0,0.0,"[""o'brien""]",molly o'brien,Hana Hatae,['DS9'],molly o'brien,Student,Deep Space 9,['Civilian'],Human,"['molly', ""o'brien""]",14,62,14,"""A Matter of Perspective""",43610.4,Cliff Bole,Ed Zuckerman,"February?12,?1990?(1990-02-12)",10.8[4],61,1
38202,38202,11276,energize.,picard,64.0,165.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,65,17,"""Sins of the Father""",43685.2,Les Landau,Teleplay by: Ronald D. Moore & W. Reed Moran Story by: Drew Deighan,"March?19,?1990?(1990-03-19)",11.1[4],64,1
44942,44942,13230,(cont'd) energize.,picard,76.0,177.txt,"['contd', 'Energize']","['contd', 'Energ']","['contd', 'Energ']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,77,3,"""Brothers""",44085.7,Rob Bowman,Rick Berman,"October?8,?1990?(1990-10-08)",10.9[5],76,1
46564,46564,13620,"(to com) picard to o'brien, energize hru",picard omitted6566 int.,79.0,180.txt,"['com', 'Picard', 'OBrien', 'Energize', 'hru']","['com', 'Picard', 'OBrien', 'Energ', 'hru']","['com', 'Picard', 'OBrien', 'Energ', 'hru']",5.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,80,6,"""Legacy""",44215.2,Robert Scheerer,Joe Menosky,"October?29,?1990?(1990-10-29)",12.0[5],79,1
46723,46723,33884,energize.,data,79.0,180.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],6,80,6,"""Legacy""",44215.2,Robert Scheerer,Joe Menosky,"October?29,?1990?(1990-10-29)",12.0[5],79,1
46886,46886,67490,8 90 7 (2) (continuing) energize.,riker,79.0,180.txt,"['8', '90', '7', '2', 'continuing', 'Energize']","['8', '90', '7', '2', 'continu', 'Energ']","['8', '90', '7', '2', 'continu', 'Energ']",6.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,80,6,"""Legacy""",44215.2,Robert Scheerer,Joe Menosky,"October?29,?1990?(1990-10-29)",12.0[5],79,1
46902,46902,67506,energize.,riker,79.0,180.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,80,6,"""Legacy""",44215.2,Robert Scheerer,Joe Menosky,"October?29,?1990?(1990-10-29)",12.0[5],79,1
46935,46935,67539,energize!,riker,79.0,180.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,80,6,"""Legacy""",44215.2,Robert Scheerer,Joe Menosky,"October?29,?1990?(1990-10-29)",12.0[5],79,1
47286,47286,52954,"""reunion"" 9/4 5 energize.",star trek: teaser continued: worf,80.0,181.txt,"['Reunion', '94', '5', 'Energize']","['Reunion', '94', '5', 'Energ']","['Reunion', '94', '5', 'Energ']",4.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],7,81,7,"""Reunion""",44246.3,Jonathan Frakes,Teleplay: Thomas Perry & Jo Perry & Ronald D. Moore and Brannon Braga Story: Drew Deighan & Thomas Perry and Jo Perry,"November?5,?1990?(1990-11-05)",12.2[5],80,1
49840,49840,34138,energize.,data,84.0,185.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],11,85,11,"""Data's Day""",44390.1,Robert Wiemer,Teleplay: Harold Apter and Ronald D. Moore Story: Harold Apter,"January?7,?1991?(1991-01-07)",11.7[5],84,1
56080,56080,16089,"energize, please, mister o'brien.4 as he",picard including timicin (optical) materializes.,95.0,196.txt,"['Energize', 'please', 'Mister', 'OBrien4']","['Energ', 'pleas', 'Mister', 'OBrien4']","['Energ', 'plea', 'Mister', 'OBrien4']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,96,22,"""Half a Life""",44805.3,Les Landau,Teleplay: Peter Allan Fields Story: Ted Roberts and Peter Allan Fields,"May?6,?1991?(1991-05-06)",Unknown[5],95,1
56295,56295,44994,(to o'brien) so you just energize this damned thing and get me down there!,star trek: a act three continued: lwaxana,95.0,196.txt,"['OBrien', 'So', 'energize', 'damned', 'thing', 'get']","['OBrien', 'So', 'energ', 'damn', 'thing', 'get']","['OBrien', 'So', 'energ', 'damn', 'thing', 'get']",6.0,-0.4549,['lwaxana'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",22,96,22,"""Half a Life""",44805.3,Les Landau,Teleplay: Peter Allan Fields Story: Ted Roberts and Peter Allan Fields,"May?6,?1991?(1991-05-06)",Unknown[5],95,1
59089,59089,16740,energize the network.,picard,100.0,201.txt,"['Energize', 'network']","['Energ', 'network']","['Energ', 'network']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,101,1,"""Redemption II""",45021.3,David Carson,Ronald D. Moore,"September?23,?1991?(1991-09-23)",N/A[6],100,1
60217,60217,69109,energize ,riker,101.0,202.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,102,2,"""Darmok""",45047.2,Winrich Kolbe,Teleplay: Joe Menosky Story: Philip LaZebnik and Joe Menosky,"September?30,?1991?(1991-09-30)",N/A[6],101,1
60625,60625,69134,energize.,riker,102.0,203.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",3,103,3,"""Ensign Ro""",45076.3,Les Landau,Teleplay: Michael Piller Story: Rick Berman & Michael Piller,"October?7,?1991?(1991-10-07)",11.6[6],102,1
63739,63739,17990,he is becoming energized.,picard,107.0,208.txt,"['He', 'becoming', 'energized']","['He', 'becom', 'energ']","['He', 'becom', 'energ']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,108,8,"""Unification II""",45245.8,Cliff Bole,Teleplay: Michael Piller Story: Rick Berman and Michael Piller,"November?11,?1991?(1991-11-11)",15.4[6],107,1
65562,65562,36144,(to com) energize!,data,110.0,211.txt,"['com', 'Energize']","['com', 'Energ']","['com', 'Energ']",2.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],11,111,11,"""Hero Worship""",45397.3,Patrick Stewart,Teleplay: Joe Menosky Story: Hilary J. Bader,"January?27,?1992?(1992-01-27)",12.7[6],110,1
65859,65859,69860,energize.,riker,110.0,211.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",11,111,11,"""Hero Worship""",45397.3,Patrick Stewart,Teleplay: Joe Menosky Story: Hilary J. Bader,"January?27,?1992?(1992-01-27)",12.7[6],110,1
66635,66635,18811,energize.,picard,112.0,213.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112,1
66802,66802,69984,energize.,riker,112.0,213.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112,1
66809,66809,69991,(to com) energize.,riker,112.0,213.txt,"['com', 'Energize']","['com', 'Energ']","['com', 'Energ']",2.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112,1
66860,66860,91956,energize.,geordi,112.0,213.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112,1
67475,67475,70127,she's energized from work a sharp contrast to the quiet she's just shattered.,riker,113.0,214.txt,"['Shes', 'energized', 'work', 'sharp', 'contrast', 'quiet', 'shes', 'shattered']","['She', 'energ', 'work', 'sharp', 'contrast', 'quiet', 'she', 'shatter']","['She', 'energ', 'work', 'sharp', 'contrast', 'quiet', 'she', 'shatter']",8.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",14,114,14,"""Conundrum""",45494.2,Les Landau,Teleplay: Barry Schkolnick Story: Paul Schiffer,"February?17,?1992?(1992-02-17)",12.2[6],113,1
71677,71677,19692,energize!,picard,120.0,221.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",21,121,21,"""The Perfect Mate""",45761.3,Cliff Bole,Teleplay: Gary Perconte and Michael Piller Story: Ren? Echevarria and Gary Perconte,"April?27,?1992?(1992-04-27)",10.8[6],120,1
72814,72814,20216,energize.,picard,122.0,223.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",23,123,23,"""I, Borg""",45854.2,Robert Lederman,Ren? Echevarria,"May?11,?1992?(1992-05-11)",12.8[6],122,1
73076,73076,92573,energize.,geordi,122.0,223.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",23,123,23,"""I, Borg""",45854.2,Robert Lederman,Ren? Echevarria,"May?11,?1992?(1992-05-11)",12.8[6],122,1
76590,76590,105391,energize.,barclay,127.0,228.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['barclay'],reginald barclay,Dwight Schultz,"['TNG', 'FCT', 'VOY']",reginald barclay,"Engineering Officer (TNG,Movies)",Starfleet Command,['Lt. Commander'],Human,"['reginald', 'barclay']",2,128,2,"""Realm of Fear""",46041.1,Cliff Bole,Brannon Braga,"September?28,?1992?(1992-09-28)",13.2[7],127,1
76808,76808,21002,"transporter room two, prepare to energize but alkar takes liva's hand.",jarth picard,128.0,229.txt,"['Transporter', 'Room', 'Two', 'prepare', 'energize', 'But', 'Alkar', 'takes', 'Livas', 'hand']","['Transport', 'Room', 'Two', 'prepar', 'energ', 'But', 'Alkar', 'take', 'Liva', 'hand']","['Transport', 'Room', 'Two', 'prepar', 'energ', 'But', 'Alkar', 'take', 'Liva', 'hand']",10.0,0.4939,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,129,3,"""Man of the People""",46071.6,Winrich Kolbe,Frank Abatemarco,"October?5,?1992?(1992-10-05)",13.2[7],128,1
76818,76818,21012,energize ,picard,128.0,229.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,129,3,"""Man of the People""",46071.6,Winrich Kolbe,Frank Abatemarco,"October?5,?1992?(1992-10-05)",13.2[7],128,1
77344,77344,21096,energize.,picard,129.0,230.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,130,4,"""Relics""",46125.3,Alexander Singer,Ronald D. Moore,"October?12,?1992?(1992-10-12)",13.9[7],129,1
77638,77638,93418,(to transporter technician) energize.,geordi,129.0,230.txt,"['Transporter', 'Technician', 'Energize']","['Transport', 'Technician', 'Energ']","['Transport', 'Technician', 'Energ']",3.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",4,130,4,"""Relics""",46125.3,Alexander Singer,Ronald D. Moore,"October?12,?1992?(1992-10-12)",13.9[7],129,1
79398,79398,21435,energize...,young picard,132.0,233.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,133,7,"""Rascals""",46235.7,Adam Nimoy,Teleplay: Allison Hock Story: Ward Botsford & Diana Dru Botsford and Michael Piller,"November?2,?1992?(1992-11-02)",13.5[7],132,1
79786,79786,107681,picard is still energized by his recent trip and is showing guinan some odd pieces of pottery from a small box.,"shuttlecraft in flight picard, guinan, keiko ro",132.0,233.txt,"['Picard', 'still', 'energized', 'recent', 'trip', 'showing', 'Guinan', 'odd', 'pieces', 'pottery', 'small', 'box']","['Picard', 'still', 'energ', 'recent', 'trip', 'show', 'Guinan', 'odd', 'piec', 'potteri', 'small', 'box']","['Picard', 'still', 'energ', 'recent', 'trip', 'show', 'Guinan', 'odd', 'piec', 'potteri', 'small', 'box']",12.0,-0.3182,"['keiko', 'ro']",ro laren,Michelle Forbes,['TNG'],ro laren,Helmsman (S5-7),USS Enterprise-D,['Lieutenant'],Bajoran,"['ro', 'laren']",7,133,7,"""Rascals""",46235.7,Adam Nimoy,Teleplay: Allison Hock Story: Ward Botsford & Diana Dru Botsford and Michael Piller,"November?2,?1992?(1992-11-02)",13.5[7],132,1
80531,80531,37555,energize.,data,134.0,235.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],9,135,9,"""The Quality of Life""",46307.2,Jonathan Frakes,Teleplay: Naren Shankar Story: L.J. Scott,"November?16,?1992?(1992-11-16)",13.2[7],134,1
80784,80784,71851,energize.,riker,134.0,235.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",9,135,9,"""The Quality of Life""",46307.2,Jonathan Frakes,Teleplay: Naren Shankar Story: L.J. Scott,"November?16,?1992?(1992-11-16)",13.2[7],134,1
80814,80814,71881,kelso energize.,riker,134.0,235.txt,"['Kelso', 'energize']","['Kelso', 'energ']","['Kelso', 'energ']",2.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",9,135,9,"""The Quality of Life""",46307.2,Jonathan Frakes,Teleplay: Naren Shankar Story: L.J. Scott,"November?16,?1992?(1992-11-16)",13.2[7],134,1
80815,80815,71882,energize as kelso works the transporter...,riker,134.0,235.txt,"['Energize', 'As', 'Kelso', 'works', 'Transporter']","['Energ', 'As', 'Kelso', 'work', 'Transport']","['Energ', 'As', 'Kelso', 'work', 'Transport']",5.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",9,135,9,"""The Quality of Life""",46307.2,Jonathan Frakes,Teleplay: Naren Shankar Story: L.J. Scott,"November?16,?1992?(1992-11-16)",13.2[7],134,1
83486,83486,72201,"""face of the enemy"" 17 10.9 (to crewman) energize.",star trek: act two continued: riker,139.0,240.txt,"['Face', 'Enemy', '17', '109', 'Crewman', 'Energize']","['Face', 'Enemi', '17', '109', 'Crewman', 'Energ']","['Face', 'Enemi', '17', '109', 'Crewman', 'Energ']",6.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",14,140,14,"""Face of the Enemy""",46519.1,Gabrielle Beaumont,Teleplay: Naren Shankar Story: Ren? Echevarria,"February?8,?1993?(1993-02-08)",13.1[7],139,1
85858,85858,22998,energize.,picard,144.0,245.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",19,145,19,"""Lessons""",46693.1,Robert Wiemer,Ron Wilkerson & Jean Louise Matthias,"April?5,?1993?(1993-04-05)",12.2[7],144,1
89271,89271,73017,energize.6,riker int.,149.0,250.txt,['Energize6'],['Energize6'],['Energize6'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",24,150,24,"""Second Chances""",46915.2,LeVar Burton,Teleplay: Ren? Echevarria Story: Michael Medlock,"May?24,?1993?(1993-05-24)",9.7[7],149,1
96003,96003,25322,energize.,picard,159.0,260.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,160,8,"""Attached""",47304.2,Jonathan Frakes,Nicholas Sagan,"November?8,?1993?(1993-11-08)",12.1[8],159,1
97587,97587,39717,energize ,data int.,161.0,262.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],10,162,10,"""Inheritance""",47410.2,Robert Scheerer,Teleplay by: Dan Koeppel and Ren? Echevarria Story by: Dan Koeppel,"November?22,?1993?(1993-11-22)",11.6[8],161,1
98722,98722,25787,energize.,picard,163.0,264.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,164,12,"""The Pegasus""",47457.1,LeVar Burton,Ronald D. Moore,"January?10,?1994?(1994-01-10)",11.9[8],163,1
99593,99593,57689,energize...,star trek: act five continued: worf,164.0,265.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],13,165,13,"""Homeward""",47423.9,Alexander Singer,Teleplay by: Naren Shankar Story by: Spike Steingasser Based on material by William N. Stape,"January?17,?1994?(1994-01-17)",11.8[8],164,1
100247,100247,85637,(to chief) energize.,beverly,165.0,266.txt,"['Chief', 'Energize']","['Chief', 'Energ']","['Chief', 'Energ']",2.0,0.0,['beverly'],beverly crusher,Gates McFadden,"['TNG', 'GEN,FCT,INS,NEM']",beverly crusher,Head of Starfleet Medical (S2),USS Enterprise-E,['Commander'],Human,"['beverly', 'crusher']",14,166,14,"""Sub Rosa""",Unknown,Jonathan Frakes,Teleplay by: Brannon Braga Story by: Jeri Taylor Based on material by Jeanna F. Gallo,"January?31,?1994?(1994-01-31)",11.5[8],165,1
100251,100251,85641,(to chief) energize.,star trek: act four continued: beverly,165.0,266.txt,"['Chief', 'Energize']","['Chief', 'Energ']","['Chief', 'Energ']",2.0,0.0,['beverly'],beverly crusher,Gates McFadden,"['TNG', 'GEN,FCT,INS,NEM']",beverly crusher,Head of Starfleet Medical (S2),USS Enterprise-E,['Commander'],Human,"['beverly', 'crusher']",14,166,14,"""Sub Rosa""",Unknown,Jonathan Frakes,Teleplay by: Brannon Braga Story by: Jeri Taylor Based on material by Jeanna F. Gallo,"January?31,?1994?(1994-01-31)",11.5[8],165,1
